TYPE LAT LON H FREQ A ICAO NAME
T -0.925833 131.12 10 122.4 50 WASS "Jefman"
T -7.51609 110.757 421 118.1 50 WRSQ "Adi Sumarmo Wiryokusumo"
T -7.51609 110.757 421 122.7 50 WRSQ "Adi Sumarmo Wiryokusumo"
T -8.56071 116.095 52 122.2 50 WRRA "Selaparang"
T -5.06185 119.554 47 118.1 50 WAAA "Hasanuddin"
T -6.29317 106.57 151 122.2 50 WIIA "Budiarto"
T -0.150711 109.404 10 118.3 50 WIOO "Supadio"
T -0.918542 119.91 284 122.2 50 WAML "Mutiara"
T 54.0833 -4.62389 55 118.9 50 EGNS "Isle Of Man"
T 22.6547 88.4467 20 118.1 50 VECC "Netaji Subhash Chandra Bose"
T 19.0887 72.8679 38 118.1 50 VABB "Chhatrapati Shivaji"
T 32.0095 34.8769 135 118.3 50 LLBG "Ben Gurion"
T 41.8128 12.2531 13 118.7 50 LIRF "Fiumicino"
T 41.8128 12.2531 13 127.625 50 LIRF "Fiumicino"
T 41.8128 12.2531 13 121.8 50 LIRF "Fiumicino"
T 41.8128 12.2531 13 257.8 50 LIRF "Fiumicino"
T 42.4317 14.1811 48 118.45 50 LIBP "Pescara"
T 42.4317 14.1811 48 122.1 50 LIBP "Pescara"
T 42.4317 14.1811 48 257.8 50 LIBP "Pescara"
T 39.3542 8.97248 100 122.1 50 LIED "Decimomannu"
T 39.3542 8.97248 100 140.4 50 LIED "Decimomannu"
T 39.3542 8.97248 100 257.8 50 LIED "Decimomannu"
T 39.3542 8.97248 100 343.45 50 LIED "Decimomannu"
T 43.81 11.2051 144 118.3 50 LIRQ "Peretola"
T 43.81 11.2051 144 122.1 50 LIRQ "Peretola"
T 43.81 11.2051 144 257.8 50 LIRQ "Peretola"
T 43.81 11.2051 144 292.15 50 LIRQ "Peretola"
T 38.176 13.091 64 119.05 50 LICJ "Palermo"
T 38.176 13.091 64 257.8 50 LICJ "Palermo"
T 37.9126 12.4883 25 119.7 50 LICT "Trapani Birgi"
T 37.9126 12.4883 25 122.1 50 LICT "Trapani Birgi"
T 37.9126 12.4883 25 257.8 50 LICT "Trapani Birgi"
T 37.9126 12.4883 25 299.4 50 LICT "Trapani Birgi"
T 37.4017 14.9224 81 118.05 50 LICZ "Sigonella"
T 37.4017 14.9224 81 122.1 50 LICZ "Sigonella"
T 37.4017 14.9224 81 257.8 50 LICZ "Sigonella"
T 37.4017 14.9224 81 337.6 50 LICZ "Sigonella"
T 44.9131 9.72333 455 122.1 50 LIMS "Piacenza"
T 44.9131 9.72333 455 136.075 50 LIMS "Piacenza"
T 44.9131 9.72333 455 257.8 50 LIMS "Piacenza"
T 44.9131 9.72333 455 312.65 50 LIMS "Piacenza"
T 41.5389 15.7133 185 118.2 50 LIBA "Amendola"
T 41.5389 15.7133 185 122.1 50 LIBA "Amendola"
T 41.5389 15.7133 185 257.8 50 LIBA "Amendola"
T 41.5389 15.7133 185 396.7 50 LIBA "Amendola"
T 41.7994 12.5949 427 120.5 50 LIRA "Ciampino"
T 41.7994 12.5949 427 122.1 50 LIRA "Ciampino"
T 41.7994 12.5949 427 257.8 50 LIRA "Ciampino"
T 41.7994 12.5949 427 337.95 50 LIRA "Ciampino"
T 45.5743 11.5307 128 130.4 50 LIPT "Vicenza"
T 45.5743 11.5307 128 122.1 50 LIPT "Vicenza"
T 45.5743 11.5307 128 257.8 50 LIPT "Vicenza"
T 45.5743 11.5307 128 387.85 50 LIPT "Vicenza"
T 45.6846 12.0863 138 122.1 50 LIPS "Istrana"
T 45.6846 12.0863 138 257.8 50 LIPS "Istrana"
T 45.6846 12.0863 138 338.55 50 LIPS "Istrana"
T 40.8987 9.5177 37 122.1 50 LIEO "Olbia Costa Smeralda"
T 40.8987 9.5177 37 125.95 50 LIEO "Olbia Costa Smeralda"
T 40.8987 9.5177 37 257.8 50 LIEO "Olbia Costa Smeralda"
T 45.3957 10.8885 239 118.65 50 LIPX "Villafranca"
T 45.3957 10.8885 239 122.1 50 LIPX "Villafranca"
T 45.3957 10.8885 239 257.8 50 LIPX "Villafranca"
T 45.3957 10.8885 239 387.75 50 LIPX "Villafranca"
T 44.0203 12.612 41 119.1 50 LIPR "Rimini"
T 44.0203 12.612 41 122.1 50 LIPR "Rimini"
T 44.0203 12.612 41 257.8 50 LIPR "Rimini"
T 44.0203 12.612 41 356.25 50 LIPR "Rimini"
T 45.6315 8.72787 767 119 50 LIMC "Malpensa"
T 45.6315 8.72787 767 128.35 50 LIMC "Malpensa"
T 45.6315 8.72787 767 257.8 50 LIMC "Malpensa"
T 43.6164 13.3625 49 119.8 50 LIPY "Falconara"
T 43.6164 13.3625 49 122.1 50 LIPY "Falconara"
T 43.6164 13.3625 49 257.8 50 LIPY "Falconara"
T 45.4322 10.2677 332 122.1 50 LIPL "Ghedi"
T 45.4322 10.2677 332 257.8 50 LIPL "Ghedi"
T 45.4322 10.2677 332 386.5 50 LIPL "Ghedi"
T 43.6839 10.3927 7 119.1 50 LIRP "Pisa"
T 43.6839 10.3927 7 122.1 50 LIRP "Pisa"
T 43.6839 10.3927 7 139.4 50 LIRP "Pisa"
T 43.6839 10.3927 7 257.8 50 LIRP "Pisa"
T 43.6839 10.3927 7 338.55 50 LIRP "Pisa"
T 41.0608 14.0819 29 118.025 50 LIRM "Grazzanise"
T 41.0608 14.0819 29 122.1 50 LIRM "Grazzanise"
T 41.0608 14.0819 29 257.8 50 LIRM "Grazzanise"
T 41.0608 14.0819 29 358.6 50 LIRM "Grazzanise"
T 45.6489 12.1954 59 118.7 50 LIPH "Treviso"
T 45.6489 12.1954 59 122.1 50 LIPH "Treviso"
T 45.6489 12.1954 59 257.8 50 LIPH "Treviso"
T 45.6489 12.1954 59 268.75 50 LIPH "Treviso"
T 44.412 8.84187 13 118.6 50 LIMJ "Genova Sestri"
T 44.412 8.84187 13 257.8 50 LIMJ "Genova Sestri"
T 41.6594 12.4453 41 122.1 50 LIRE "Pratica Di Mare"
T 41.6594 12.4453 41 139.45 50 LIRE "Pratica Di Mare"
T 41.6594 12.4453 41 257.8 50 LIRE "Pratica Di Mare"
T 41.6594 12.4453 41 376.8 50 LIRE "Pratica Di Mare"
T 45.9808 13.0546 184 122.1 50 LIPI "Rivolto"
T 45.9808 13.0546 184 139.25 50 LIPI "Rivolto"
T 45.9808 13.0546 184 257.8 50 LIPI "Rivolto"
T 45.9808 13.0546 184 315.7 50 LIPI "Rivolto"
T 46.0319 12.5965 413 142.05 50 LIPA "Aviano Ab"
T 46.0319 12.5965 413 259.05 50 LIPA "Aviano Ab"
T 38.0712 15.6516 95 118.3 50 LICR "Reggio Calabria"
T 38.0712 15.6516 95 257.8 50 LICR "Reggio Calabria"
T 39.2515 9.05428 13 120.6 50 LIEE "Elmas"
T 39.2515 9.05428 13 122.1 50 LIEE "Elmas"
T 39.2515 9.05428 13 257.8 50 LIEE "Elmas"
T 39.2515 9.05428 13 370.05 50 LIEE "Elmas"
T 38.9064 16.2424 40 119.7 50 LICA "Lamezia Terme"
T 38.9064 16.2424 40 122.1 50 LICA "Lamezia Terme"
T 38.9064 16.2424 40 257.8 50 LICA "Lamezia Terme"
T 45.2008 7.64963 989 118.5 50 LIMF "Torino"
T 45.2008 7.64963 989 257.8 50 LIMF "Torino"
T 45.5051 12.3519 7 120.2 50 LIPZ "Venezia Tessera"
T 45.5051 12.3519 7 257.8 50 LIPZ "Venezia Tessera"
T 44.1948 12.0701 97 118.95 50 LIPK "Forli"
T 44.1948 12.0701 97 119.75 50 LIPK "Forli"
T 44.1948 12.0701 97 257.8 50 LIPK "Forli"
T 40.5162 17.4023 216 118.7 50 LIBG "Grottaglie"
T 40.5162 17.4023 216 257.8 50 LIBG "Grottaglie"
T 40.7678 16.9333 1187 122.1 50 LIBV "Gioia Del Colle"
T 40.7678 16.9333 1187 122.45 50 LIBV "Gioia Del Colle"
T 40.7678 16.9333 1187 257.8 50 LIBV "Gioia Del Colle"
T 40.7678 16.9333 1187 259.95 50 LIBV "Gioia Del Colle"
T 40.8861 14.2907 298 118.5 50 LIRN "Capodichino"
T 40.8861 14.2907 298 257.8 50 LIRN "Capodichino"
T 40.8861 14.2907 298 340.2 50 LIRN "Capodichino"
T 44.2236 12.3061 19 122.1 50 LIPC "Cervia"
T 44.2236 12.3061 19 257.8 50 LIPC "Cervia"
T 44.2236 12.3061 19 258.95 50 LIPC "Cervia"
T 44.5342 11.2905 122 120.8 50 LIPE "Bologna"
T 44.5342 11.2905 122 257.8 50 LIPE "Bologna"
T 37.4669 15.0662 40 118.7 50 LICC "Catania Fontanarossa"
T 37.4669 15.0662 40 257.8 50 LICC "Catania Fontanarossa"
T 37.4669 15.0662 40 396.7 50 LICC "Catania Fontanarossa"
T 45.4453 9.27703 353 118.1 50 LIML "Linate"
T 45.4453 9.27703 353 119.25 50 LIML "Linate"
T 45.4453 9.27703 353 257.8 50 LIML "Linate"
T 45.5296 8.66923 586 122.1 50 LIMN "Cameri"
T 45.5296 8.66923 586 139.1 50 LIMN "Cameri"
T 45.5296 8.66923 586 257.8 50 LIMN "Cameri"
T 45.5296 8.66923 586 300.25 50 LIMN "Cameri"
T 45.5296 8.66923 586 300.95 50 LIMN "Cameri"
T 40.6321 8.29077 87 118.85 50 LIEA "Alghero"
T 40.6321 8.29077 87 257.8 50 LIEA "Alghero"
T 41.5424 12.909 93 119.15 50 LIRL "Latina"
T 41.5424 12.909 93 122.1 50 LIRL "Latina"
T 41.5424 12.909 93 299.4 50 LIRL "Latina"
T 41.5424 12.909 93 257.8 50 LIRL "Latina"
T 41.5424 12.909 93 261 50 LIRL "Latina"
T 36.8165 11.9689 636 118.45 50 LICG "Pantelleria"
T 36.8165 11.9689 636 122.1 50 LICG "Pantelleria"
T 36.8165 11.9689 636 257.8 50 LICG "Pantelleria"
T 41.9903 12.7408 289 122.1 50 LIRG "Guidonia"
T 41.9903 12.7408 289 122.2 50 LIRG "Guidonia"
T 41.9903 12.7408 289 142.35 50 LIRG "Guidonia"
T 41.9903 12.7408 289 257.8 50 LIRG "Guidonia"
T 41.1385 16.7607 177 118.3 50 LIBD "Palese Macchie"
T 41.1385 16.7607 177 122.1 50 LIBD "Palese Macchie"
T 41.1385 16.7607 177 257.8 50 LIBD "Palese Macchie"
T 42.7597 11.0719 15 122.1 50 LIRS "Grosseto"
T 42.7597 11.0719 15 128.1 50 LIRS "Grosseto"
T 42.7597 11.0719 15 257.8 50 LIRS "Grosseto"
T 42.7597 11.0719 15 315.7 50 LIRS "Grosseto"
T 40.2387 18.1332 158 119.55 50 LIBN "Lecce"
T 40.2387 18.1332 158 122.1 50 LIBN "Lecce"
T 40.2387 18.1332 158 257.8 50 LIBN "Lecce"
T 40.2387 18.1332 158 358.6 50 LIBN "Lecce"
T 40.6576 17.947 48 118.1 50 LIBR "Casale"
T 40.6576 17.947 48 122.1 50 LIBR "Casale"
T 40.6576 17.947 48 259 50 LIBR "Casale"
T 40.6576 17.947 48 257.8 50 LIBR "Casale"
T 45.8279 13.4666 37 130.2 50 LIPQ "Ronchi Dei Legionari"
T 45.8279 13.4666 37 257.8 50 LIPQ "Ronchi Dei Legionari"
T 45.6739 9.70417 779 126.5 50 LIME "Bergamo Orio Al Serio"
T 45.6739 9.70417 779 120.5 50 LIME "Bergamo Orio Al Serio"
T 45.6739 9.70417 779 257.8 50 LIME "Bergamo Orio Al Serio"
T 41.9519 12.4989 56 123.8 50 LIRU "Urbe"
T 41.9519 12.4989 56 257.8 50 LIRU "Urbe"
T 45.7129 8.70058 863 119 50 LILG "Vergiate"
T 45.7129 8.70058 863 128.35 50 LILG "Vergiate"
T 45.7129 8.70058 863 257.8 50 LILG "Vergiate"
T 45.429 10.3308 356 119.4 50 LIPO "Montichiari"
T 45.429 10.3308 356 122.1 50 LIPO "Montichiari"
T 42.4303 12.0642 994 122.1 50 LIRV "Viterbo"
T 42.4303 12.0642 994 127.15 50 LIRV "Viterbo"
T 42.4303 12.0642 994 337.6 50 LIRV "Viterbo"
T 42.4303 12.0642 994 257.8 50 LIRV "Viterbo"
T 5.26139 -3.92629 20 118.1 50 DIAP "Abidjan Felix Houphouet Boigny"
T 33.2621 44.2339 113 118.9 50 ORBS "Saddam"
T 33.2621 44.2339 113 118.7 50 ORBS "Saddam"
T 30.5488 47.6624 11 118.7 50 ORMM "Basrah"
T 42.8905 143.158 275 126.2 50 RJCT "Tokachi"
T 42.8905 143.158 275 140.5 50 RJCT "Tokachi"
T 42.8905 143.158 275 139.8 50 RJCT "Tokachi"
T 42.8905 143.158 275 138.05 50 RJCT "Tokachi"
T 24.3445 124.187 93 118 50 ROIG "Ishigaki"
T 24.3445 124.187 93 126.2 50 ROIG "Ishigaki"
T 40.7032 141.368 119 125.3 50 RJSM "Misawa Ab"
T 40.7032 141.368 119 118.1 50 RJSM "Misawa Ab"
T 40.7032 141.368 119 315.8 50 RJSM "Misawa Ab"
T 40.7032 141.368 119 236.8 50 RJSM "Misawa Ab"
T 40.7032 141.368 119 236.6 50 RJSM "Misawa Ab"
T 31.3676 130.845 214 126.2 50 RJFY "Kanoya"
T 31.3676 130.845 214 228.2 50 RJFY "Kanoya"
T 31.3676 130.845 214 133.4 50 RJFY "Kanoya"
T 31.3676 130.845 214 236.8 50 RJFY "Kanoya"
T 34.0347 131.549 7 126.2 50 RJOF "Hofu"
T 34.0347 131.549 7 236.8 50 RJOF "Hofu"
T 34.0347 131.549 7 138.3 50 RJOF "Hofu"
T 34.0347 131.549 7 133.4 50 RJOF "Hofu"
T 34.0347 131.549 7 120.1 50 RJOF "Hofu"
T 35.7647 140.386 141 118.2 50 RJAA "New Tokyo"
T 35.7647 140.386 141 236.8 50 RJAA "New Tokyo"
T 35.7647 140.386 141 122.7 50 RJAA "New Tokyo"
T 35.7647 140.386 141 126.2 50 RJAA "New Tokyo"
T 41.7702 140.822 151 118.35 50 RJCH "Hakodate"
T 41.7702 140.822 151 258.3 50 RJCH "Hakodate"
T 41.7702 140.822 151 126.2 50 RJCH "Hakodate"
T 33.8272 132.7 25 118.35 50 RJOM "Matsuyama"
T 33.8272 132.7 25 126.2 50 RJOM "Matsuyama"
T 34.4355 132.922 1088 118.6 50 RJOA "Hiroshima"
T 34.4355 132.922 1088 126.2 50 RJOA "Hiroshima"
T 34.4355 132.922 1088 362.3 50 RJOA "Hiroshima"
T 35.3942 136.87 128 122 50 RJNG "Gifu"
T 35.3942 136.87 128 307 50 RJNG "Gifu"
T 35.3942 136.87 128 120.1 50 RJNG "Gifu"
T 35.3942 136.87 128 236.8 50 RJNG "Gifu"
T 35.3942 136.87 128 126.2 50 RJNG "Gifu"
T 35.7989 140.011 98 138.3 50 RJTL "Shimofusa"
T 35.7989 140.011 98 325.4 50 RJTL "Shimofusa"
T 35.7989 140.011 98 126.2 50 RJTL "Shimofusa"
T 34.7569 133.856 806 124.3 50 RJOB "Okayama"
T 34.7569 133.856 806 126.2 50 RJOB "Okayama"
T 34.2141 134.016 607 118.3 50 RJOT "Takamatsu"
T 34.2141 134.016 607 126.2 50 RJOT "Takamatsu"
T 34.2141 134.016 607 135.9 50 RJOT "Takamatsu"
T 34.2141 134.016 607 261.2 50 RJOT "Takamatsu"
T 36.1811 140.415 105 126.2 50 RJAH "Hyakuri"
T 36.1811 140.415 105 236.8 50 RJAH "Hyakuri"
T 36.1811 140.415 105 323.8 50 RJAH "Hyakuri"
T 36.1811 140.415 105 119.5 50 RJAH "Hyakuri"
T 35.255 136.924 52 118.7 50 RJNN "Nagoya"
T 35.255 136.924 52 236.8 50 RJNN "Nagoya"
T 35.255 136.924 52 122.7 50 RJNN "Nagoya"
T 35.255 136.924 52 126.2 50 RJNN "Nagoya"
T 35.255 136.924 52 305.7 50 RJNN "Nagoya"
T 36.5145 139.871 334 236.8 50 RJTU "Utsunomiya"
T 36.5145 139.871 334 126.2 50 RJTU "Utsunomiya"
T 36.5145 139.871 334 138.05 50 RJTU "Utsunomiya"
T 36.5145 139.871 334 140.3 50 RJTU "Utsunomiya"
T 34.5963 135.603 39 124.35 50 RJOY "Yao"
T 34.5963 135.603 39 126.2 50 RJOY "Yao"
T 33.6854 131.041 55 126.2 50 RJFZ "Tsuiki"
T 33.6854 131.041 55 236.8 50 RJFZ "Tsuiki"
T 33.6854 131.041 55 318.8 50 RJFZ "Tsuiki"
T 33.6854 131.041 55 247 50 RJFZ "Tsuiki"
T 33.6854 131.041 55 123.1 50 RJFZ "Tsuiki"
T 37.9559 139.121 29 118 50 RJSN "Niigata"
T 37.9559 139.121 29 126.2 50 RJSN "Niigata"
T 34.1439 132.236 7 123.8 50 RJOI "Iwakuni Mcas"
T 34.1439 132.236 7 340.2 50 RJOI "Iwakuni Mcas"
T 24.784 141.323 378 126.2 50 RJAW "Iwo Jima"
T 24.784 141.323 378 255.4 50 RJAW "Iwo Jima"
T 24.784 141.323 378 133.4 50 RJAW "Iwo Jima"
T 24.784 141.323 378 228.2 50 RJAW "Iwo Jima"
T 35.4546 139.45 205 126.2 50 RJTA "Atsugi Naf"
T 35.4546 139.45 205 340.2 50 RJTA "Atsugi Naf"
T 35.4546 139.45 205 236.8 50 RJTA "Atsugi Naf"
T 35.4546 139.45 205 360.2 50 RJTA "Atsugi Naf"
T 34.1328 134.607 26 118 50 RJOS "Tokushima"
T 34.1328 134.607 26 126.2 50 RJOS "Tokushima"
T 34.1328 134.607 26 233.8 50 RJOS "Tokushima"
T 34.1328 134.607 26 236.8 50 RJOS "Tokushima"
T 34.1328 134.607 26 123.1 50 RJOS "Tokushima"
T 35.3983 139.91 10 126.2 50 RJTK "Kisarazu"
T 35.3983 139.91 10 236.8 50 RJTK "Kisarazu"
T 35.3983 139.91 10 140.5 50 RJTK "Kisarazu"
T 35.3983 139.91 10 138.05 50 RJTK "Kisarazu"
T 35.3983 139.91 10 359 50 RJTK "Kisarazu"
T 32.0838 131.452 259 126.2 50 RJFN "Nyutabaru"
T 32.0838 131.452 259 236.8 50 RJFN "Nyutabaru"
T 32.0838 131.452 259 120.1 50 RJFN "Nyutabaru"
T 32.0838 131.452 259 304.5 50 RJFN "Nyutabaru"
T 42.7752 141.692 82 118.8 50 RJCC "New Chitose"
T 42.7752 141.692 82 236.8 50 RJCC "New Chitose"
T 42.7752 141.692 82 126.2 50 RJCC "New Chitose"
T 42.7945 141.666 87 118.2 50 RJCJ "Chitose"
T 42.7945 141.666 87 126.2 50 RJCJ "Chitose"
T 42.7945 141.666 87 236.8 50 RJCJ "Chitose"
T 42.7945 141.666 87 304.5 50 RJCJ "Chitose"
T 38.4049 141.22 7 126.2 50 RJST "Matsushima"
T 38.4049 141.22 7 236.8 50 RJST "Matsushima"
T 38.4049 141.22 7 304.6 50 RJST "Matsushima"
T 33.4794 131.737 19 118.8 50 RJFO "Oita"
T 33.4794 131.737 19 261.2 50 RJFO "Oita"
T 33.4794 131.737 19 126.2 50 RJFO "Oita"
T 34.7855 135.438 50 118.1 50 RJOO "Osaka"
T 34.7855 135.438 50 236.8 50 RJOO "Osaka"
T 34.7855 135.438 50 126.2 50 RJOO "Osaka"
T 43.1161 141.38 25 126.2 50 RJCO "Sapporo"
T 43.1161 141.38 25 138.05 50 RJCO "Sapporo"
T 43.1161 141.38 25 140.5 50 RJCO "Sapporo"
T 43.1161 141.38 25 304.8 50 RJCO "Sapporo"
T 42.7336 143.217 505 118.7 50 RJCB "Obihiro"
T 42.7336 143.217 505 123.6 50 RJCB "Obihiro"
T 42.7336 143.217 505 126.2 50 RJCB "Obihiro"
T 33.8831 130.653 98 126.2 50 RJFA "Ashiya"
T 33.8831 130.653 98 236.8 50 RJFA "Ashiya"
T 33.8831 130.653 98 305.7 50 RJFA "Ashiya"
T 33.8831 130.653 98 247.8 50 RJFA "Ashiya"
T 34.7502 137.703 150 126.2 50 RJNH "Hamamatsu"
T 34.7502 137.703 150 236.8 50 RJNH "Hamamatsu"
T 34.7502 137.703 150 304.5 50 RJNH "Hamamatsu"
T 32.9225 129.923 15 118.5 50 RJFU "Nagasaki"
T 32.9225 129.923 15 236.8 50 RJFU "Nagasaki"
T 32.9225 129.923 15 126.2 50 RJFU "Nagasaki"
T 32.9225 129.923 15 122.7 50 RJFU "Nagasaki"
T 35.5523 139.78 35 118.1 50 RJTT "Tokyo"
T 35.5523 139.78 35 118.8 50 RJTT "Tokyo"
T 35.5523 139.78 35 124.35 50 RJTT "Tokyo"
T 35.5523 139.78 35 126.2 50 RJTT "Tokyo"
T 35.5523 139.78 35 236.8 50 RJTT "Tokyo"
T 33.5446 133.671 31 118.75 50 RJOK "Kochi"
T 33.5446 133.671 31 261.2 50 RJOK "Kochi"
T 33.5446 133.671 31 126.2 50 RJOK "Kochi"
T 31.8771 131.448 20 118.3 50 RJFM "Miyazaki"
T 31.8771 131.448 20 126.2 50 RJFM "Miyazaki"
T 31.8771 131.448 20 261.2 50 RJFM "Miyazaki"
T 43.041 144.193 327 118.05 50 RJCK "Kushiro"
T 43.041 144.193 327 126.2 50 RJCK "Kushiro"
T 26.2755 127.755 246 123.6 50 ROTM "Futenma Mcas"
T 26.2755 127.755 246 340.2 50 ROTM "Futenma Mcas"
T 33.5866 130.45 32 118.4 50 RJFF "Fukuoka"
T 33.5866 130.45 32 236.8 50 RJFF "Fukuoka"
T 33.5866 130.45 32 126.2 50 RJFF "Fukuoka"
T 24.8269 125.145 54 118.3 50 RORS "Shimojishima"
T 24.8269 125.145 54 126.2 50 RORS "Shimojishima"
T 34.8127 138.298 23 120.1 50 RJNY "Shizuhama"
T 34.8127 138.298 23 126.2 50 RJNY "Shizuhama"
T 34.8127 138.298 23 141.25 50 RJNY "Shizuhama"
T 34.8127 138.298 23 236.8 50 RJNY "Shizuhama"
T 38.1397 140.917 15 118.7 50 RJSS "Sendai"
T 38.1397 140.917 15 126.2 50 RJSS "Sendai"
T 35.8416 139.411 295 126.2 50 RJTJ "Iruma"
T 35.8416 139.411 295 236.8 50 RJTJ "Iruma"
T 35.8416 139.411 295 122.05 50 RJTJ "Iruma"
T 35.8416 139.411 295 322.2 50 RJTJ "Iruma"
T 26.3556 127.768 143 126.2 50 RODN "Kadena Ab"
T 26.3556 127.768 143 315.8 50 RODN "Kadena Ab"
T 26.3556 127.768 143 236.6 50 RODN "Kadena Ab"
T 31.8034 130.719 906 118.2 50 RJFK "Kagoshima"
T 31.8034 130.719 906 261.2 50 RJFK "Kagoshima"
T 31.8034 130.719 906 126.2 50 RJFK "Kagoshima"
T 26.1958 127.646 11 118.1 50 ROAH "Naha"
T 26.1958 127.646 11 236.6 50 ROAH "Naha"
T 26.1958 127.646 11 126.2 50 ROAH "Naha"
T 26.1958 127.646 11 308.6 50 ROAH "Naha"
T 35.4923 133.237 20 126.2 50 RJOH "Miho"
T 35.4923 133.237 20 236.8 50 RJOH "Miho"
T 35.4923 133.237 20 118 50 RJOH "Miho"
T 35.4923 133.237 20 302.4 50 RJOH "Miho"
T 34.0453 131.052 13 122 50 RJOZ "Ozuki"
T 34.0453 131.052 13 228.2 50 RJOZ "Ozuki"
T 34.0453 131.052 13 126.2 50 RJOZ "Ozuki"
T 34.0453 131.052 13 236.8 50 RJOZ "Ozuki"
T 34.0453 131.052 13 302.2 50 RJOZ "Ozuki"
T 35.7485 139.348 463 134.3 50 RJTY "Yokota Ab"
T 35.7485 139.348 463 315.8 50 RJTY "Yokota Ab"
T 40.5564 141.466 152 126.2 50 RJSH "Hachinohe"
T 40.5564 141.466 152 228.2 50 RJSH "Hachinohe"
T 40.5564 141.466 152 138.3 50 RJSH "Hachinohe"
T 40.5564 141.466 152 325.4 50 RJSH "Hachinohe"
T 40.5564 141.466 152 141.2 50 RJSH "Hachinohe"
T 32.8373 130.855 642 118.7 50 RJFT "Kumamoto"
T 32.8373 130.855 642 258.9 50 RJFT "Kumamoto"
T 32.8373 130.855 642 122.9 50 RJFT "Kumamoto"
T 32.8373 130.855 642 126.2 50 RJFT "Kumamoto"
T 36.3936 136.408 36 126.2 50 RJNK "Komatsu"
T 36.3936 136.408 36 236.8 50 RJNK "Komatsu"
T 36.3936 136.408 36 304.8 50 RJNK "Komatsu"
T 36.3936 136.408 36 247 50 RJNK "Komatsu"
T 36.3936 136.408 36 138.05 50 RJNK "Komatsu"
T 34.4273 135.244 26 118.2 50 RJBB "Kansai"
T 34.4273 135.244 26 236.8 50 RJBB "Kansai"
T 34.4273 135.244 26 126.2 50 RJBB "Kansai"
T 34.9871 139.829 10 126.2 50 RJTE "Tateyama"
T 34.9871 139.829 10 233.8 50 RJTE "Tateyama"
T 34.9871 139.829 10 122 50 RJTE "Tateyama"
T 34.9871 139.829 10 228.2 50 RJTE "Tateyama"
T 35.5138 139.394 360 122.5 50 RJTR "Kastner Aaf"
T 35.5138 139.394 360 288.8 50 RJTR "Kastner Aaf"
T 49.2079 -2.19551 274 119.45 50 EGJJ "Jersey"
T 17.9357 -76.7876 10 120.6 50 MKJP "Norman Manley"
T 18.5037 -77.9134 4 120.8 50 MKJS "Sangster"
T 31.7226 35.9932 2395 119.8 50 OJAI "Queen Alia"
T 29.6116 35.0181 175 118.1 50 OJAQ "Aqaba"
T 29.6116 35.0181 175 119.2 50 OJAQ "Aqaba"
T 39.2234 125.67 102 133 50 ZKPY "Sunan"
T 33.5113 126.493 118 118.1 50 RKPC "Jeju"
T 33.5113 126.493 118 126.2 50 RKPC "Jeju"
T 33.5113 126.493 118 236.6 50 RKPC "Jeju"
T 37.4458 127.114 92 126.2 50 RKSM "Seoul Ab"
T 37.4458 127.114 92 236.6 50 RKSM "Seoul Ab"
T 37.4458 127.114 92 292.85 50 RKSM "Seoul Ab"
T 35.9038 126.616 29 126.5 50 RKJK "Kunsan Ab"
T 35.9038 126.616 29 236.6 50 RKJK "Kunsan Ab"
T 35.9038 126.616 29 292.3 50 RKJK "Kunsan Ab"
T 35.8941 128.659 116 126.2 50 RKTN "Daegu Ab"
T 35.8941 128.659 116 236.6 50 RKTN "Daegu Ab"
T 35.8941 128.659 116 365 50 RKTN "Daegu Ab"
T 37.0906 127.03 40 122.1 50 RKSO "Osan Ab"
T 37.0906 127.03 40 308.8 50 RKSO "Osan Ab"
T 37.5583 126.791 58 118.1 50 RKSS "Gimpo"
T 37.5583 126.791 58 118.05 50 RKSS "Gimpo"
T 37.5583 126.791 58 240.9 50 RKSS "Gimpo"
T 35.1795 128.938 13 118.1 50 RKPK "Gimhae"
T 35.1795 128.938 13 126.2 50 RKPK "Gimhae"
T 35.1795 128.938 13 233.3 50 RKPK "Gimhae"
T 35.1795 128.938 13 236.6 50 RKPK "Gimhae"
T 29.2268 47.9801 206 118.3 50 OKBK "Kuwait"
T 29.3467 47.5208 472 118 50 OKAS "Ali Al Salem Ab"
T 29.3467 47.5208 472 303 50 OKAS "Ali Al Salem Ab"
T 56.9237 23.9712 34 118.1 50 EVRA "Riga"
T 54.6341 25.2858 646 118.2 50 EYVI "Vilnius"
T 49.2315 18.6135 1020 124.15 50 LZZI "Zilina"
T 48.1702 17.2127 436 118.3 50 LZIB "M R Stefanik"
T 48.1702 17.2127 436 118.7 50 LZIB "M R Stefanik"
T 49.0736 20.241 2356 118.9 50 LZTT "Tatry"
T 48.6252 17.8284 545 125.45 50 LZPP "Piestany"
T 48.6631 21.2411 755 120.4 50 LZKZ "Kosice"
T 48.6631 21.2411 755 133.75 50 LZKZ "Kosice"
T 49.6266 6.21152 1234 118.1 50 ELLX "Luxembourg"
T 32.6635 13.159 263 118.1 50 HLLT "Tripoli"
T -18.7969 47.4789 4198 118.1 50 FMMI "Antananarivo Ivato"
T 14.591 -61.0032 16 118.5 50 TFFF "Le Lamentin"
T 22.1496 113.592 20 118 50 VMMC "Macau"
T 16.2484 -0.005456 869 118.1 50 GAGO "Gao"
T 16.7305 -3.00758 863 118.3 50 GATB "Tombouctou"
